"Código";"Denominación";"Fecha";"Asiento";"Documento";"Concepto";"Ampliación";"Contrapartida";"CC";"Debe";"Haber";"s1";""
"1000000001";"CAPITAL SOCIAL";"01/01/2013";"1";"";"970";"APERTURA";"";"";"";"3305,5";"-3305,5";""
"1120000001";"RESERVA LEGAL";"01/01/2013";"1";"";"970";"APERTURA";"";"";"";"2075,89";"-2075,89";""
"1130000002";"RESERVAS VOLUNTARIAS";"01/01/2013";"1";"";"970";"APERTURA";"";"";"";"57001,49";"-57001,49";""
"1190000001";"DIFERENCIAS POR AJUSTE DEL CAPITAL A EUROS";"01/01/2013";"1";"";"970";"APERTURA";"";"";"";"0,07";"-0,07";""
"1210002011";"RESULTADO NEGATIVO EJERCICIO 2011";"01/01/2013";"1";"";"970";"APERTURA";"";"";"924,4";"";"924,4";""
"1210002012";"RESULTADO NEGATIVO EJERCICIO 2012";"30/06/2013";"679";"";"27";"RESULTADOS 2012";"1290000001";"";"29714,24";"";"29714,24";""
"2060000002";"VISUAL BASIC-WINDOWS NT";"01/01/2013";"1";"";"970";"APERTURA";"";"";"636,27";"";"636,27";""
"2060000004";"UPGRADE UNIX ENTERPRISE 16 US.";"01/01/2013";"1";"";"970";"APERTURA";"";"";"655,1";"";"655,1";""
"2060000007";"VISUAL BASIC 6.0 ACTUALIZACION";"01/01/2013";"1";"";"970";"APERTURA";"";"";"639,64";"";"639,64";""
"2060000010";"MACROMEDIA STUDIO MX";"01/01/2013";"1";"";"970";"APERTURA";"";"";"979";"";"979";""
"2060000011";"LICENCIA CHILKAT MAIL/WEMBAIL";"01/01/2013";"1";"";"970";"APERTURA";"";"";"89,06";"";"89,06";""
"2060000012";"VISNETIC MAILSERVER PRO";"01/01/2013";"1";"";"970";"APERTURA";"";"";"468,75";"";"468,75";""
"2150000010";"LUMINARIAS";"01/01/2013";"1";"";"970";"APERTURA";"";"";"3311,96";"";"3311,96";""
"2160000001";"MOBILIARIO I";"01/01/2013";"1";"";"970";"APERTURA";"";"";"230,55";"";"230,55";""
"2160000005";"MOBILIARIO II";"01/01/2013";"1";"";"970";"APERTURA";"";"";"567,34";"";"567,34";""
"2160000006";"MOBILIARIO III";"01/01/2013";"1";"";"970";"APERTURA";"";"";"370,45";"";"370,45";""
"2160000009";"MAQUINA DE ESCRIBIR OLIVETTI";"01/01/2013";"1";"";"970";"APERTURA";"";"";"53,12";"";"53,12";""
"2160000011";"MOBILIARIO IV";"01/01/2013";"1";"";"970";"APERTURA";"";"";"1275,51";"";"1275,51";""
"2160000013";"MOBILIARIO V";"01/01/2013";"1";"";"970";"APERTURA";"";"";"977,02";"";"977,02";""
"2160000014";"NEVERA";"01/01/2013";"1";"";"970";"APERTURA";"";"";"135,89";"";"135,89";""
"2160000016";"MOBILIARIO VI";"01/01/2013";"1";"";"970";"APERTURA";"";"";"109,32";"";"109,32";""
"2160000017";"EXTINTORES";"01/01/2013";"1";"";"970";"APERTURA";"";"";"106,83";"";"106,83";""
"2160000018";"BUC CON ARCHIVADOR";"01/01/2013";"1";"";"970";"APERTURA";"";"";"82,74";"";"82,74";""
"2160000020";"ASPIRADOR MONIX TURBO";"01/01/2013";"1";"";"970";"APERTURA";"";"";"51,81";"";"51,81";""
"2160000024";"MOBILIARIO VII";"01/01/2013";"1";"";"970";"APERTURA";"";"";"359,28";"";"359,28";""
"2160000026";"2 SILLAS GIOCONDA AZUL C/ BRAZOS";"01/01/2013";"1";"";"970";"APERTURA";"";"";"458,01";"";"458,01";""
"2160000027";"2 SILLAS GIOCONDA AZUL C/ BRAZOS";"01/01/2013";"1";"";"970";"APERTURA";"";"";"433,5";"";"433,5";""
"2160000028";"2 SILLAS GIOCONDA AZUL C/ BRAZOS";"01/01/2013";"1";"";"970";"APERTURA";"";"";"229";"";"229";""
"2170000018";"SAI 500 VA ESTABILIZADO";"01/01/2013";"1";"";"970";"APERTURA";"";"";"167,98";"";"167,98";""
"2170000026";"CONTROLADORA ADAPTEC 1510 ISA";"01/01/2013";"1";"";"970";"APERTURA";"";"";"60,1";"";"60,1";""
"2170000052";"ROUTER CISCO 801";"01/01/2013";"1";"";"970";"APERTURA";"";"";"655,7";"";"655,7";""
"2170000053";"IMPRESORA DESKJET 1220PS";"01/01/2013";"1";"";"970";"APERTURA";"";"";"518,82";"";"518,82";""
"2170000054";"HUB SMC 24 PUERTOS";"01/01/2013";"1";"";"970";"APERTURA";"";"";"561,98";"";"561,98";""
"2170000057";"PORTATIL ACER 1400XC";"01/01/2013";"1";"";"970";"APERTURA";"";"";"1551,18";"";"1551,18";""
"2170000062";"SERVIDOR HP PROLIANT ML150G2";"01/01/2013";"1";"";"970";"APERTURA";"";"";"866,8";"";"866,8";""
"2170000066";"MONITOR BENQ TFT 17" FP71G+";"01/01/2013";"1";"";"970";"APERTURA";"";"";"160";"";"160";""
"2170000067";"MONITOR BENQ TFT 17" FP71G+";"01/01/2013";"1";"";"970";"APERTURA";"";"";"154,76";"";"154,76";""
"2170000068";"PORTATIL ACER ASPIRE 5736Z-454G32MNKK";"01/01/2013";"1";"";"970";"APERTURA";"";"";"374,95";"";"374,95";""
"2170000069";"PACKARD BELL IMEDIA D4807 SP + MONITOR 18,5" TFT";"01/01/2013";"1";"";"970";"APERTURA";"";"";"360,38";"";"360,38";""
"2170000071";"IMPRESORA OKI LASER MB280MFP";"01/01/2013";"1";"";"970";"APERTURA";"";"";"50";"";"50";""
"2170000072";"IMPRESORA HP LASERJET PRO 100 COLOR";"01/01/2013";"1";"";"970";"APERTURA";"";"";"264,09";"";"264,09";""
"2170000073";"EQUIPO HP P3300 SFF I3-2120 4GB 500GB + MONITOR 20"";"01/01/2013";"1";"";"970";"APERTURA";"";"";"415,17";"";"415,17";""
"2170000074";"HP PAVILION P6-2304ES CORE I3 3220 / 3.3 GHZ  6GB 1TB";"20/03/2013";"478";"Z065985";"2";"S/FACTURA Z065985 (200313)";"4000000011";"";"431,29";"";"431,29";""
"2501000002";"INVERS. FINANCIERAS ACE";"01/01/2013";"1";"";"970";"APERTURA";"";"";"124";"";"124";""
"2600000001";"FIANZA ALQUILER C/ URUGUAY";"01/01/2013";"1";"";"970";"APERTURA";"";"";"2000";"";"2000";""
"2806000002";"AMORT.ACUM. V.B. + WINDOWS NT";"01/01/2013";"1";"";"970";"APERTURA";"";"";"";"636,27";"-636,27";""
"2806000004";"AMORT.ACUM. UPGRADE UNIX 16 U.";"01/01/2013";"1";"";"970";"APERTURA";"";"";"";"655,1";"-655,1";""
"2806000007";"AMORT.ACUM. VISUAL BASIC 6 ACT";"01/01/2013";"1";"";"970";"APERTURA";"";"";"";"639,64";"-639,64";""
"2806000010";"AMORT.ACUM. MACROMEDIA STUDIO";"01/01/2013";"1";"";"970";"APERTURA";"";"";"";"979";"-979";""
"2806000011";"AMORT. ACUM. CHILKAT MAIL/WEB";"01/01/2013";"1";"";"970";"APERTURA";"";"";"";"89,06";"-89,06";""
"2806000012";"AMORT. ACUM. VISNETIC 25U.";"01/01/2013";"1";"";"970";"APERTURA";"";"";"";"468,75";"-468,75";""
"2815000010";"AMORT. ACUM. LUMINARIAS";"01/01/2013";"1";"";"970";"APERTURA";"";"";"";"4065,44";"-4065,44";""
"2815000010";"AMORT. ACUM. LUMINARIAS";"31/01/2013";"136";"000114";"8";"LUMINARIAS";"6815000010";"";"";"70,12";"-4135,56";""
"2815000010";"AMORT. ACUM. LUMINARIAS";"28/02/2013";"333";"000114";"8";"LUMINARIAS";"6815000010";"";"";"70,12";"-4205,68";""
"2815000010";"AMORT. ACUM. LUMINARIAS";"31/03/2013";"519";"000114";"8";"LUMINARIAS";"6815000010";"";"";"1,8";"-4207,48";""
"2816000001";"AMORT.ACUM. MOBILIARIO I";"01/01/2013";"1";"";"970";"APERTURA";"";"";"";"230,55";"-230,55";""
"2816000005";"AMORT.ACUM. MOBILIARIO II";"01/01/2013";"1";"";"970";"APERTURA";"";"";"";"567,33";"-567,33";""
"2816000006";"AMORT.ACUM. MOBILIARIO III";"01/01/2013";"1";"";"970";"APERTURA";"";"";"";"370,45";"-370,45";""
"2816000009";"AMORT.ACUM. MAQ. DE ESCRIBIR";"01/01/2013";"1";"";"970";"APERTURA";"";"";"";"53,13";"-53,13";""
"2816000011";"AMORT.ACUM. MOBILIARIO IV";"01/01/2013";"1";"";"970";"APERTURA";"";"";"";"1275,52";"-1275,52";""
"2816000013";"AMORT.ACUM. MOBILIARIO V";"01/01/2013";"1";"";"970";"APERTURA";"";"";"";"977,02";"-977,02";""
"2816000014";"AMORT.ACUM. NEVERA";"01/01/2013";"1";"";"970";"APERTURA";"";"";"";"135,9";"-135,9";""
"2816000016";"AMORT.ACUM. MOBILIARIO VI";"01/01/2013";"1";"";"970";"APERTURA";"";"";"";"109,32";"-109,32";""
"2816000017";"AMORT. ACUM. EXTINTORES";"01/01/2013";"1";"";"970";"APERTURA";"";"";"";"106,82";"-106,82";""
"2816000018";"AMORT. ACUM. BUC+ARCHIVADOR";"01/01/2013";"1";"";"970";"APERTURA";"";"";"";"82,8";"-82,8";""
"2816000020";"AMORT. ACUM. ASPIRADOR MONIX";"01/01/2013";"1";"";"970";"APERTURA";"";"";"";"51,81";"-51,81";""
"2816000024";"AMORT. ACUM. MOBILIARIO VII";"01/01/2013";"1";"";"970";"APERTURA";"";"";"";"359,28";"-359,28";""
"2816000026";"AMORT. ACUM. 2 SILLAS GIOCONDA AZUL";"01/01/2013";"1";"";"970";"APERTURA";"";"";"";"69,27";"-69,27";""
"2816000026";"AMORT. ACUM. 2 SILLAS GIOCONDA AZUL";"31/01/2013";"136";"000118";"8";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"6816000026";"";"";"3,82";"-73,09";""
"2816000026";"AMORT. ACUM. 2 SILLAS GIOCONDA AZUL";"28/02/2013";"333";"000118";"8";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"6816000026";"";"";"3,82";"-76,91";""
"2816000026";"AMORT. ACUM. 2 SILLAS GIOCONDA AZUL";"31/03/2013";"519";"000118";"8";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"6816000026";"";"";"3,82";"-80,73";""
"2816000026";"AMORT. ACUM. 2 SILLAS GIOCONDA AZUL";"30/04/2013";"686";"000118";"8";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"6816000026";"";"";"3,82";"-84,55";""
"2816000026";"AMORT. ACUM. 2 SILLAS GIOCONDA AZUL";"31/05/2013";"861";"000118";"8";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"6816000026";"";"";"3,82";"-88,37";""
"2816000026";"AMORT. ACUM. 2 SILLAS GIOCONDA AZUL";"30/06/2013";"1024";"000118";"8";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"6816000026";"";"";"3,82";"-92,19";""
"2816000026";"AMORT. ACUM. 2 SILLAS GIOCONDA AZUL";"31/07/2013";"1182";"000118";"8";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"6816000026";"";"";"3,82";"-96,01";""
"2816000026";"AMORT. ACUM. 2 SILLAS GIOCONDA AZUL";"31/08/2013";"1327";"000118";"8";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"6816000026";"";"";"3,82";"-99,83";""
"2816000026";"AMORT. ACUM. 2 SILLAS GIOCONDA AZUL";"30/09/2013";"1483";"000118";"8";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"6816000026";"";"";"3,82";"-103,65";""
"2816000026";"AMORT. ACUM. 2 SILLAS GIOCONDA AZUL";"31/10/2013";"1694";"000118";"8";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"6816000026";"";"";"3,82";"-107,47";""
"2816000026";"AMORT. ACUM. 2 SILLAS GIOCONDA AZUL";"30/11/2013";"1888";"000118";"8";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"6816000026";"";"";"3,82";"-111,29";""
"2816000026";"AMORT. ACUM. 2 SILLAS GIOCONDA AZUL";"31/12/2013";"2072";"000118";"8";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"6816000026";"";"";"3,82";"-115,11";""
"2816000027";"AMORT. ACUM. 2 SILLAS GIOCONDA AZUL C/ BRAZOS";"01/01/2013";"1";"";"970";"APERTURA";"";"";"";"61,37";"-61,37";""
"2816000027";"AMORT. ACUM. 2 SILLAS GIOCONDA AZUL C/ BRAZOS";"31/01/2013";"136";"000119";"8";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"6816000027";"";"";"3,61";"-64,98";""
"2816000027";"AMORT. ACUM. 2 SILLAS GIOCONDA AZUL C/ BRAZOS";"28/02/2013";"333";"000119";"8";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"6816000027";"";"";"3,61";"-68,59";""
"2816000027";"AMORT. ACUM. 2 SILLAS GIOCONDA AZUL C/ BRAZOS";"31/03/2013";"519";"000119";"8";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"6816000027";"";"";"3,61";"-72,2";""
"2816000027";"AMORT. ACUM. 2 SILLAS GIOCONDA AZUL C/ BRAZOS";"30/04/2013";"686";"000119";"8";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"6816000027";"";"";"3,61";"-75,81";""
"2816000027";"AMORT. ACUM. 2 SILLAS GIOCONDA AZUL C/ BRAZOS";"31/05/2013";"861";"000119";"8";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"6816000027";"";"";"3,61";"-79,42";""
"2816000027";"AMORT. ACUM. 2 SILLAS GIOCONDA AZUL C/ BRAZOS";"30/06/2013";"1024";"000119";"8";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"6816000027";"";"";"3,61";"-83,03";""
"2816000027";"AMORT. ACUM. 2 SILLAS GIOCONDA AZUL C/ BRAZOS";"31/07/2013";"1182";"000119";"8";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"6816000027";"";"";"3,61";"-86,64";""
"2816000027";"AMORT. ACUM. 2 SILLAS GIOCONDA AZUL C/ BRAZOS";"31/08/2013";"1327";"000119";"8";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"6816000027";"";"";"3,61";"-90,25";""
"2816000027";"AMORT. ACUM. 2 SILLAS GIOCONDA AZUL C/ BRAZOS";"30/09/2013";"1483";"000119";"8";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"6816000027";"";"";"3,61";"-93,86";""
"2816000027";"AMORT. ACUM. 2 SILLAS GIOCONDA AZUL C/ BRAZOS";"31/10/2013";"1694";"000119";"8";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"6816000027";"";"";"3,61";"-97,47";""
"2816000027";"AMORT. ACUM. 2 SILLAS GIOCONDA AZUL C/ BRAZOS";"30/11/2013";"1888";"000119";"8";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"6816000027";"";"";"3,61";"-101,08";""
"2816000027";"AMORT. ACUM. 2 SILLAS GIOCONDA AZUL C/ BRAZOS";"31/12/2013";"2072";"000119";"8";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"6816000027";"";"";"3,61";"-104,69";""
"2816000028";"AMORT. ACUM. 2 SILLAS GIOCONDA AZUL C/ BRAZOS";"01/01/2013";"1";"";"970";"APERTURA";"";"";"";"29,67";"-29,67";""
