"Código";"Descripcion";"Cuenta";"VAdquisicion";"FAdquisicion";"FAmortizacion";"ImpAmort";"PorAmort"
"117";"PACKARD BELL IMEDIA D4807 SP +";"2170000069";"360,38";"27/04/2011";"30/04/2011";"1";"0,28"
"117";"PACKARD BELL IMEDIA D4807 SP +";"2170000069";"360,38";"27/04/2011";"31/05/2011";"7,51";"2,08"
"117";"PACKARD BELL IMEDIA D4807 SP +";"2170000069";"360,38";"27/04/2011";"30/06/2011";"7,51";"2,08"
"117";"PACKARD BELL IMEDIA D4807 SP +";"2170000069";"360,38";"27/04/2011";"31/07/2011";"7,51";"2,08"
"117";"PACKARD BELL IMEDIA D4807 SP +";"2170000069";"360,38";"27/04/2011";"31/08/2011";"7,51";"2,08"
"117";"PACKARD BELL IMEDIA D4807 SP +";"2170000069";"360,38";"27/04/2011";"30/09/2011";"7,51";"2,08"
"117";"PACKARD BELL IMEDIA D4807 SP +";"2170000069";"360,38";"27/04/2011";"31/10/2011";"7,51";"2,08"
"117";"PACKARD BELL IMEDIA D4807 SP +";"2170000069";"360,38";"27/04/2011";"30/11/2011";"7,51";"2,08"
"117";"PACKARD BELL IMEDIA D4807 SP +";"2170000069";"360,38";"27/04/2011";"31/12/2011";"7,51";"2,08"
"117";"PACKARD BELL IMEDIA D4807 SP +";"2170000069";"360,38";"27/04/2011";"31/01/2012";"7,51";"2,08"
"117";"PACKARD BELL IMEDIA D4807 SP +";"2170000069";"360,38";"27/04/2011";"29/02/2012";"7,51";"2,08"
"117";"PACKARD BELL IMEDIA D4807 SP +";"2170000069";"360,38";"27/04/2011";"31/03/2012";"7,51";"2,08"
"117";"PACKARD BELL IMEDIA D4807 SP +";"2170000069";"360,38";"27/04/2011";"30/04/2012";"7,51";"2,08"
"117";"PACKARD BELL IMEDIA D4807 SP +";"2170000069";"360,38";"27/04/2011";"31/05/2012";"7,51";"2,08"
"117";"PACKARD BELL IMEDIA D4807 SP +";"2170000069";"360,38";"27/04/2011";"30/06/2012";"7,51";"2,08"
"117";"PACKARD BELL IMEDIA D4807 SP +";"2170000069";"360,38";"27/04/2011";"31/07/2012";"7,51";"2,08"
"117";"PACKARD BELL IMEDIA D4807 SP +";"2170000069";"360,38";"27/04/2011";"31/08/2012";"7,51";"2,08"
"117";"PACKARD BELL IMEDIA D4807 SP +";"2170000069";"360,38";"27/04/2011";"30/09/2012";"7,51";"2,08"
"117";"PACKARD BELL IMEDIA D4807 SP +";"2170000069";"360,38";"27/04/2011";"31/10/2012";"7,51";"2,08"
"117";"PACKARD BELL IMEDIA D4807 SP +";"2170000069";"360,38";"27/04/2011";"30/11/2012";"7,51";"2,08"
"117";"PACKARD BELL IMEDIA D4807 SP +";"2170000069";"360,38";"27/04/2011";"31/12/2012";"7,51";"2,08"
"117";"PACKARD BELL IMEDIA D4807 SP +";"2170000069";"360,38";"27/04/2011";"31/01/2013";"7,51";"2,08"
"117";"PACKARD BELL IMEDIA D4807 SP +";"2170000069";"360,38";"27/04/2011";"28/02/2013";"7,51";"2,08"
"117";"PACKARD BELL IMEDIA D4807 SP +";"2170000069";"360,38";"27/04/2011";"31/03/2013";"7,51";"2,08"
"117";"PACKARD BELL IMEDIA D4807 SP +";"2170000069";"360,38";"27/04/2011";"30/04/2013";"7,51";"2,08"
"117";"PACKARD BELL IMEDIA D4807 SP +";"2170000069";"360,38";"27/04/2011";"31/05/2013";"7,51";"2,08"
"117";"PACKARD BELL IMEDIA D4807 SP +";"2170000069";"360,38";"27/04/2011";"30/06/2013";"7,51";"2,08"
"117";"PACKARD BELL IMEDIA D4807 SP +";"2170000069";"360,38";"27/04/2011";"31/07/2013";"7,51";"2,08"
"117";"PACKARD BELL IMEDIA D4807 SP +";"2170000069";"360,38";"27/04/2011";"31/08/2013";"7,51";"2,08"
"117";"PACKARD BELL IMEDIA D4807 SP +";"2170000069";"360,38";"27/04/2011";"30/09/2013";"7,51";"2,08"
"117";"PACKARD BELL IMEDIA D4807 SP +";"2170000069";"360,38";"27/04/2011";"31/10/2013";"7,51";"2,08"
"117";"PACKARD BELL IMEDIA D4807 SP +";"2170000069";"360,38";"27/04/2011";"30/11/2013";"7,51";"2,08"
"117";"PACKARD BELL IMEDIA D4807 SP +";"2170000069";"360,38";"27/04/2011";"31/12/2013";"7,51";"2,08"
"118";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000026";"458,01";"27/06/2011";"30/06/2011";"0,51";"0,11"
"118";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000026";"458,01";"27/06/2011";"31/07/2011";"3,82";"0,83"
"118";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000026";"458,01";"27/06/2011";"31/08/2011";"3,82";"0,83"
"118";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000026";"458,01";"27/06/2011";"30/09/2011";"3,82";"0,83"
"118";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000026";"458,01";"27/06/2011";"31/10/2011";"3,82";"0,83"
"118";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000026";"458,01";"27/06/2011";"30/11/2011";"3,82";"0,83"
"118";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000026";"458,01";"27/06/2011";"31/12/2011";"3,82";"0,83"
"118";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000026";"458,01";"27/06/2011";"31/01/2012";"3,82";"0,83"
"118";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000026";"458,01";"27/06/2011";"29/02/2012";"3,82";"0,83"
"118";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000026";"458,01";"27/06/2011";"31/03/2012";"3,82";"0,83"
"118";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000026";"458,01";"27/06/2011";"30/04/2012";"3,82";"0,83"
"118";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000026";"458,01";"27/06/2011";"31/05/2012";"3,82";"0,83"
"118";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000026";"458,01";"27/06/2011";"30/06/2012";"3,82";"0,83"
"118";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000026";"458,01";"27/06/2011";"31/07/2012";"3,82";"0,83"
"118";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000026";"458,01";"27/06/2011";"31/08/2012";"3,82";"0,83"
"118";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000026";"458,01";"27/06/2011";"30/09/2012";"3,82";"0,83"
"118";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000026";"458,01";"27/06/2011";"31/10/2012";"3,82";"0,83"
"118";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000026";"458,01";"27/06/2011";"30/11/2012";"3,82";"0,83"
"118";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000026";"458,01";"27/06/2011";"31/12/2012";"3,82";"0,83"
"118";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000026";"458,01";"27/06/2011";"31/01/2013";"3,82";"0,83"
"118";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000026";"458,01";"27/06/2011";"28/02/2013";"3,82";"0,83"
"118";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000026";"458,01";"27/06/2011";"31/03/2013";"3,82";"0,83"
"118";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000026";"458,01";"27/06/2011";"30/04/2013";"3,82";"0,83"
"118";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000026";"458,01";"27/06/2011";"31/05/2013";"3,82";"0,83"
"118";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000026";"458,01";"27/06/2011";"30/06/2013";"3,82";"0,83"
"118";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000026";"458,01";"27/06/2011";"31/07/2013";"3,82";"0,83"
"118";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000026";"458,01";"27/06/2011";"31/08/2013";"3,82";"0,83"
"118";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000026";"458,01";"27/06/2011";"30/09/2013";"3,82";"0,83"
"118";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000026";"458,01";"27/06/2011";"31/10/2013";"3,82";"0,83"
"118";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000026";"458,01";"27/06/2011";"30/11/2013";"3,82";"0,83"
"118";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000026";"458,01";"27/06/2011";"31/12/2013";"3,82";"0,83"
"119";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000027";"433,5";"29/07/2011";"31/08/2011";"3,61";"0,83"
"119";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000027";"433,5";"29/07/2011";"30/09/2011";"3,61";"0,83"
"119";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000027";"433,5";"29/07/2011";"31/10/2011";"3,61";"0,83"
"119";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000027";"433,5";"29/07/2011";"30/11/2011";"3,61";"0,83"
"119";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000027";"433,5";"29/07/2011";"31/12/2011";"3,61";"0,83"
"119";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000027";"433,5";"29/07/2011";"31/01/2012";"3,61";"0,83"
"119";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000027";"433,5";"29/07/2011";"29/02/2012";"3,61";"0,83"
"119";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000027";"433,5";"29/07/2011";"31/03/2012";"3,61";"0,83"
"119";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000027";"433,5";"29/07/2011";"30/04/2012";"3,61";"0,83"
"119";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000027";"433,5";"29/07/2011";"31/05/2012";"3,61";"0,83"
"119";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000027";"433,5";"29/07/2011";"30/06/2012";"3,61";"0,83"
"119";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000027";"433,5";"29/07/2011";"31/07/2012";"3,61";"0,83"
"119";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000027";"433,5";"29/07/2011";"31/08/2012";"3,61";"0,83"
"119";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000027";"433,5";"29/07/2011";"30/09/2012";"3,61";"0,83"
"119";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000027";"433,5";"29/07/2011";"31/10/2012";"3,61";"0,83"
"119";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000027";"433,5";"29/07/2011";"30/11/2012";"3,61";"0,83"
"119";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000027";"433,5";"29/07/2011";"31/12/2012";"3,61";"0,83"
"119";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000027";"433,5";"29/07/2011";"31/01/2013";"3,61";"0,83"
"119";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000027";"433,5";"29/07/2011";"28/02/2013";"3,61";"0,83"
"119";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000027";"433,5";"29/07/2011";"31/03/2013";"3,61";"0,83"
"119";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000027";"433,5";"29/07/2011";"30/04/2013";"3,61";"0,83"
"119";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000027";"433,5";"29/07/2011";"31/05/2013";"3,61";"0,83"
"119";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000027";"433,5";"29/07/2011";"30/06/2013";"3,61";"0,83"
"119";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000027";"433,5";"29/07/2011";"31/07/2013";"3,61";"0,83"
"119";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000027";"433,5";"29/07/2011";"31/08/2013";"3,61";"0,83"
"119";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000027";"433,5";"29/07/2011";"30/09/2013";"3,61";"0,83"
"119";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000027";"433,5";"29/07/2011";"31/10/2013";"3,61";"0,83"
"119";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000027";"433,5";"29/07/2011";"30/11/2013";"3,61";"0,83"
"119";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000027";"433,5";"29/07/2011";"31/12/2013";"3,61";"0,83"
"120";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000028";"229";"15/09/2011";"30/09/2011";"1,02";"0,45"
"120";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000028";"229";"15/09/2011";"31/10/2011";"1,91";"0,83"
"120";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000028";"229";"15/09/2011";"30/11/2011";"1,91";"0,83"
"120";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000028";"229";"15/09/2011";"31/12/2011";"1,91";"0,83"
"120";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000028";"229";"15/09/2011";"31/01/2012";"1,91";"0,83"
"120";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000028";"229";"15/09/2011";"29/02/2012";"1,91";"0,83"
"120";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000028";"229";"15/09/2011";"31/03/2012";"1,91";"0,83"
"120";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000028";"229";"15/09/2011";"30/04/2012";"1,91";"0,83"
"120";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000028";"229";"15/09/2011";"31/05/2012";"1,91";"0,83"
"120";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000028";"229";"15/09/2011";"30/06/2012";"1,91";"0,83"
"120";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000028";"229";"15/09/2011";"31/07/2012";"1,91";"0,83"
"120";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000028";"229";"15/09/2011";"31/08/2012";"1,91";"0,83"
